country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,1.28,3.29,6.29,7.32,9.41,9.51,10.1,9.6,11.2,13.3,12.3,8.94,9.94,9.18,7.74,5.57,4.17,4.86,12.8,15.1,11.5,9.51,8.27,7.16,5.55,5.93,5.25,4.65,3.98,5.89
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13,,,,,,2.17,,,,,,,,1.86,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.98,3.84,3.81,4.22,,3.85,,4.24,4.42,3.76,2.15,2.03,5.15,9.58,14.1,14.1,14,11.9,12.2,9.9,8.51,7.94,7.25,7.38,7.47,7.44,6.81,6.11,5.33,4.87,6.6,6.8,6.15,6.12,6.59,7.11,7.71,7.41,7.08,6.04,5.08,5.83
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88,,,,,,3.07,,,4.39,,2.59,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.48,6.53,7.3,7.68,8.49,8.22,8.13,7.83,7.76,8.8,9.75,11.1,10.4,10.9,11.1,10.8,10.6,9.27,7.74,7.76,7.57,7.95,7.45,7.22,6.65,6.03,7.34,7.58,7.7,8.25,8.75,9.18,9.23,8.91,8.49,8.08,7.45,7.06
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6,,,,,,,,,,,,,,,,,19.2,,,,,,,,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86,,,,,2.53,,,,,2.16,,,,
UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.69,8.73,9.67,9.58,9.54,7.66,6.42,5.93,7.22,8.58,8.75,8.29,7.44,6.96,5.87,5.09,4.95,4.48,3.83,4.12,3.76,3.61,3.44,3.99,3.78,4.16,5.85,6.08,6.12,5.95,5.66,4.58,4.02,3.63,3.19,2.97,2.71,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,12.2,13.1,13.9,12.6,14.2,15.8,,14.7,19.4,22.4,21.2,20.7,20.9,20.8,18.9,18,18.6,15.2,13.6,12.7,18.9
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.19,,,,,,,7.4,,7.96,,,,,,3.86,,,,4.19,,,1.72,,5.79,,3.6,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.62,,,,,,,,,,,,,,,,,5.26,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.37,,,,,,7.51,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77,4.07,6.06,6.37,6,5.56,5.48,5.72,5.47,5.15,5.74,6.01,6.65,6.99,7.3,7.7,7.69,8.96,9.9,9.67,8.94,8.76,8.36,9.16,9.18,8.19,7.82,7.23,9.04,12.1,17.2,23.7,26.9,26,24.4,22.8,20.7,18.9,17.1,16.2
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,,,21.9,,13.3,,11.1,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22,2.03,,1.29,,,,2.99,3.01,2.24,2.32,1.78,1.42,1.56,1.77,1.58,1.55,
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.01,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.94,,,,,,,,,,,,,,,8.14,,,,,,,,,,,,,,,,10.7,,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23,1.93,1.17,0.87,0.68,0.89,1.36,1.52,1.48,1.45,2.61,2.24,1.77,3.69,,4.02,4.25,6.21,6.88,5.85,4.8,4,3.36,2.99,4.48,3.56,2.89,2.77,2.8,2.69,2.65,2.87,2.67,2.4,2.49,5.08
